17:27:10.240 565  [main] INFO  Es3.RegistroPresenze - s
17:27:10.240 565  [main] INFO  Es3.RegistroPresenze - m
17:27:10.240 565  [main] INFO  Es3.RegistroPresenze - i
17:27:10.240 565  [main] INFO  Es3.RegistroPresenze - n
17:27:10.241 566  [main] INFO  Es3.RegistroPresenze - o
17:27:10.244 569  [main] INFO  Es3.RegistroPresenze - @
17:27:10.244 569  [main] INFO  Es3.RegistroPresenze - 0
17:27:10.244 569  [main] INFO  Es3.RegistroPresenze - #
17:27:10.244 569  [main] INFO  Es3.RegistroPresenze - M
17:27:10.244 569  [main] INFO  Es3.RegistroPresenze - r
17:27:10.244 569  [main] INFO  Es3.RegistroPresenze - .
17:27:10.245 570  [main] INFO  Es3.RegistroPresenze -  
17:27:10.246 571  [main] INFO  Es3.RegistroPresenze - C
17:27:10.247 572  [main] INFO  Es3.RegistroPresenze - r
17:27:10.247 572  [main] INFO  Es3.RegistroPresenze - a
17:27:10.247 572  [main] INFO  Es3.RegistroPresenze - i
17:27:10.248 573  [main] INFO  Es3.RegistroPresenze - g
17:27:10.248 573  [main] INFO  Es3.RegistroPresenze - @
17:27:10.248 573  [main] INFO  Es3.RegistroPresenze - 1
17:27:10.249 574  [main] INFO  Es3.RegistroPresenze - 0
17:27:10.249 574  [main] INFO  Es3.RegistroPresenze - #
17:27:10.250 575  [main] INFO  Es3.RegistroPresenze - C
17:27:10.251 576  [main] INFO  Es3.RegistroPresenze - a
17:27:10.253 578  [main] INFO  Es3.RegistroPresenze - v
17:27:10.253 578  [main] INFO  Es3.RegistroPresenze - a
17:27:10.253 578  [main] INFO  Es3.RegistroPresenze - l
17:27:10.253 578  [main] INFO  Es3.RegistroPresenze - l
17:27:10.253 578  [main] INFO  Es3.RegistroPresenze - o
17:27:10.255 580  [main] INFO  Es3.RegistroPresenze -  
17:27:10.256 581  [main] INFO  Es3.RegistroPresenze - C
17:27:10.256 581  [main] INFO  Es3.RegistroPresenze - a
17:27:10.257 582  [main] INFO  Es3.RegistroPresenze - v
